Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1990,0.44,0.51,0.37,0.61,0.37,0.36,0.61,0.84,0.48,0.36,0.39,0.38,0.33,0.35
1991,0.42,0.41,0.44,0.46,0.38,0.44,0.78,0.6,0.28,0.33,0.44,0.34,0.35,1.02
1992,0.23,0.12,0.33,0.08,0.29,0.28,-0.15,0.37,-0.03,0.19,0.4,0.22,0.34,0.41
1993,0.24,0.19,0.29,0.14,0.33,0.23,0.66,0.23,-0.09,0.28,0.37,0.26,0.35,-0.15
1994,0.32,0.36,0.27,0.43,0.31,0.21,0.38,0.46,0.43,0.26,0.36,0.28,0.26,-0.13
1995,0.45,0.57,0.33,0.69,0.43,0.23,1.37,0.94,0.32,0.39,0.48,0.33,0.16,0.06
1996,0.35,0.28,0.41,0.27,0.33,0.45,0.86,0.19,0.13,0.3,0.36,0.35,0.31,1.09
1997,0.48,0.53,0.43,0.55,0.52,0.35,0.8,0.88,0.26,0.51,0.53,0.44,0.38,-0.01
1998,0.63,0.73,0.54,0.81,0.71,0.36,0.99,0.92,0.68,0.62,0.8,0.44,0.32,0.16
1999,0.42,0.51,0.32,0.73,0.25,0.32,0.46,0.83,0.76,0.18,0.31,0.51,0.16,0.02
2000,0.42,0.51,0.33,0.71,0.27,0.33,1.1,0.76,0.56,0.22,0.32,0.47,0.1,0.34
2001,0.54,0.64,0.44,0.8,0.43,0.44,1.04,0.81,0.71,0.41,0.45,0.58,0.2,0.43
2002,0.63,0.71,0.55,0.83,0.6,0.48,1.35,0.97,0.58,0.54,0.65,0.49,0.29,0.86
2003,0.62,0.73,0.51,0.82,0.63,0.4,1.53,0.94,0.51,0.59,0.66,0.47,0.23,0.53
2004,0.54,0.67,0.42,0.74,0.56,0.32,0.62,0.92,0.67,0.56,0.56,0.5,0.21,-0.08
2005,0.69,0.83,0.54,0.99,0.64,0.46,2.01,1.17,0.55,0.61,0.66,0.52,0.21,0.8
2006,0.63,0.79,0.47,0.95,0.56,0.4,1.66,1.06,0.66,0.55,0.57,0.54,0.19,0.33
2007,0.66,0.83,0.48,1.08,0.47,0.48,1.92,1.3,0.68,0.45,0.49,0.54,0.06,1.14
2008,0.53,0.65,0.41,0.87,0.38,0.39,1.39,1.03,0.6,0.33,0.43,0.55,0.1,0.45
2009,0.64,0.7,0.58,0.73,0.68,0.5,1.21,0.59,0.67,0.66,0.69,0.61,0.18,0.8
2010,0.71,0.88,0.55,0.98,0.68,0.48,1.98,0.86,0.73,0.72,0.65,0.66,0.23,0.35
2011,0.6,0.71,0.49,0.93,0.37,0.58,2.09,0.91,0.57,0.39,0.36,0.68,0.26,0.91
2012,0.63,0.77,0.49,0.97,0.52,0.45,1.88,0.91,0.72,0.47,0.56,0.6,0.25,0.32
2013,0.66,0.76,0.55,0.88,0.58,0.54,1.2,1.04,0.68,0.58,0.57,0.64,0.3,0.68
2014,0.75,0.91,0.58,1.05,0.67,0.55,1.82,1.13,0.75,0.7,0.63,0.76,0.23,0.49
2015,0.86,1.12,0.61,1.26,0.91,0.41,1.71,1.46,0.99,0.93,0.89,0.75,0.19,-0.31
