Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,..
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.26670343,57.82709922,57.82709922,58.06757957,58.06911129,58.06757957,58.06757957,..
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.78832072,28.43248131,28.07664189,28.55474542,28.33211634,28.15693431,28.12189701,..
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.91240876,41.13138686,41.75182482,39.30656934,43.84306748,42.85766602,43.12773544,..
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,0.69990847,0.681434581,0.662960693,0.644906665,0.805293609,0.821248331,0.824439265,..
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.23854829,16.64707315,16.80326148,17.3028962,17.37133356,17.40592946,17.36553915,..
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,91.94999695,91.09999657,90.24999619,89.3999958,88.54999542,87.70000458,87.5,..
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,15,17.5,24.00000095,25,24.50000048,24.50000048,24.50000048,..
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,..
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.93617021,48.93617021,48.93617021,46.3829771,42.06383076,40.02127546,39.95744827,..
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,48.90992219,48.40940082,47.90887944,47.40835807,46.90783669,46.40731531,46.30721041,..
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.04475816,46.12176145,45.96133793,46.19395203,46.83564611,47.47734018,47.47734018,..
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,23.40909134,23.06818095,22.72727273,22.27272771,22.27272771,22.27272771,22.27272771,..
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,..
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,12.7135335,12.17766718,11.64180086,11.03011302,10.44911919,9.906858285,9.798405818,..
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.61287906,46.78827343,46.95818671,50.35188494,53.89028352,54.33571212,54.33571212,..
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.76677204,11.73164735,11.69652266,11.66139796,11.62627327,11.66139796,11.66842333,..
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,43.69511767,46.46996839,56.37513172,60.94134176,58.89357047,58.89708637,..
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,..
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,16.73209846,16.75162386,16.77114927,16.61494604,16.03829582,16.23875662,16.25827806,..
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.46119001,60.31370813,59.29213907,57.94475613,51.88289965,47.63065749,48.24194425,..
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,45.72535723,46.10075079,46.47614434,46.63356745,46.74764969,46.88390014,46.90571284,..
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.61782396,36.09954102,35.60426194,34.59433336,33.65830719,32.94172553,32.35667614,..
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,10.23829266,10.35605667,10.55384042,10.61214629,12.19875188,13.78367651,14.09967334,..
