Data Source,Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,29.9,,,,,,,,,,31.2,,,,,,,,
Afghanistan,AFG,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,25.3,,,,,,,,,,
Angola,AGO,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,24.1,,,,,,,,,,,,,,,,,
Albania,ALB,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,28.5,27.3,26.9,,,,,,28.8,,,29.2,,,,,,,
Andorra,AND,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Age at first marriage, male",SP.DYN.SMAM.MA,,26.6,,,,,,,,,,26.8,,,,,,,,,,,,,
Argentina,ARG,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,26.9,,,,,,,,,26.6,,,,,,,,
Armenia,ARM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,26.1,27.2,,,,27,,,,,27.8,28.3,,,,,,,
American Samoa,ASM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Age at first marriage, male",SP.DYN.SMAM.MA,32.3,,,,,,,29.3,,,,,,,,,,,,,,,,,
Australia,AUS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,29.9,30.2,,30.7,,31,,,,,31.6,,,,,31.4,,,,,,,
Austria,AUT,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,29.5,,,,,,,,,,29.8,,,,,,,
Azerbaijan,AZE,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,27,27.3,,,,,,26.7,,,28.2,,,28.2,28.2,28.2,,,,
Burundi,BDI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,26.2,,26.1,,,,,,24.6,,25.4,,,,,,,,
Belgium,BEL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,31.2,30.7,30.9,,,32,,32.2,32.6,,33,,28.6,,,,,,,
Benin,BEN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,26.2,26.3,,,,25.3,,,,,,26.2,,,,,,
Burkina Faso,BFA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,26.6,,,26.4,,,,26.1,,,26.4,,,,25.3,,,,,,,,
