year,state,month,number,date
2013,Acre,Janeiro,0,1/1/2013
2014,Acre,Janeiro,0,1/1/2014
2015,Acre,Janeiro,1,1/1/2015
2016,Acre,Janeiro,12,1/1/2016
2017,Acre,Janeiro,0,1/1/2017
2013,Acre,Fevereiro,0,1/1/2013
2014,Acre,Fevereiro,0,1/1/2014
2015,Acre,Fevereiro,2,1/1/2015
2016,Acre,Fevereiro,5,1/1/2016
2017,Acre,Fevereiro,1,1/1/2017
2013,Acre,Março,2,1/1/2013
2014,Acre,Março,1,1/1/2014
2015,Acre,Março,2,1/1/2015
2016,Acre,Março,0,1/1/2016
2017,Acre,Março,0,1/1/2017
2013,Acre,Abril,19,1/1/2013
2014,Acre,Abril,7,1/1/2014
2015,Acre,Abril,3,1/1/2015
2016,Acre,Abril,0,1/1/2016
2017,Acre,Abril,1,1/1/2017
2013,Acre,Maio,4,1/1/2013
2014,Acre,Maio,1,1/1/2014
2015,Acre,Maio,2,1/1/2015
2016,Acre,Maio,21,1/1/2016
2017,Acre,Maio,10,1/1/2017
2013,Acre,Junho,8,1/1/2013
2014,Acre,Junho,17,1/1/2014
2015,Acre,Junho,40,1/1/2015
2016,Acre,Junho,87,1/1/2016
2017,Acre,Junho,45,1/1/2017
2013,Acre,Julho,54,1/1/2013
2014,Acre,Julho,60,1/1/2014
2015,Acre,Julho,109,1/1/2015
2016,Acre,Julho,533,1/1/2016
2017,Acre,Julho,457,1/1/2017
2013,Acre,Agosto,679,1/1/2013
2014,Acre,Agosto,1.1,1/1/2014
2015,Acre,Agosto,1.397,1/1/2015
2016,Acre,Agosto,2.188,1/1/2016
2017,Acre,Agosto,1.493,1/1/2017
2013,Acre,Setembro,2.136,1/1/2013
2014,Acre,Setembro,2.175,1/1/2014
2015,Acre,Setembro,2.928,1/1/2015
2016,Acre,Setembro,3.586,1/1/2016
2017,Acre,Setembro,3.429,1/1/2017
2013,Acre,Outubro,258,1/1/2013
2014,Acre,Outubro,406,1/1/2014
2015,Acre,Outubro,905,1/1/2015
2016,Acre,Outubro,509,1/1/2016
2017,Acre,Outubro,1.508,1/1/2017
2013,Acre,Novembro,79,1/1/2013
2014,Acre,Novembro,56,1/1/2014
2015,Acre,Novembro,115,1/1/2015
